event_id,display_name,domain,event_category,source_html,website_file,width,height,x_range_start,x_range_end
P1000-0552,Angola Yellow Fever Outbreak of 2016,Public Health & Biosecurity,Regional Epidemics & Biosecurity,/home/lenovo/projects/AgenticFinLab/EventMycelium-Research/build/hf_dataset_repo_staging/eventmycelium-v1_1000-public/visualizations/gantt_full1000_v1/html/P1000-0552_gantt.html,assets/gantt/hd/P1000-0552_gantt_hd.png,3600,1320,2015-11-15T04:32:30,2017-01-13T22:54:55
P1000-0346,SEC Case Against Raj Rajaratnam and Galleon Insider Trading,Finance,Market Manipulation & Trading Disruptions,/home/lenovo/projects/AgenticFinLab/EventMycelium-Research/build/hf_dataset_repo_staging/eventmycelium-v1_1000-public/visualizations/gantt_full1000_v1/html/P1000-0346_gantt.html,assets/gantt/hd/P1000-0346_gantt_hd.png,3600,1320,2002-07-04T23:00:00,2019-12-28T00:00:00
P1000-0409,Cum-Ex Tax Scandal,Finance,"Compliance, AML & Tax Evasion",/home/lenovo/projects/AgenticFinLab/EventMycelium-Research/build/hf_dataset_repo_staging/eventmycelium-v1_1000-public/visualizations/gantt_full1000_v1/html/P1000-0409_gantt.html,assets/gantt/hd/P1000-0409_gantt_hd.png,3600,1320,2001-07-04T23:00:00,2036-03-08T15:05:08
P1000-0718,Laiki Bank Collapse,Finance,Institutional Crises & Liquidity Runs,/home/lenovo/projects/AgenticFinLab/EventMycelium-Research/build/hf_dataset_repo_staging/eventmycelium-v1_1000-public/visualizations/gantt_full1000_v1/html/P1000-0718_gantt.html,assets/gantt/hd/P1000-0718_gantt_hd.png,3600,1320,2012-11-12T04:34:34,2019-10-09T19:25:25
P1000-0536,DNC Hack and 2016 Election Interference,Cybersecurity & Tech Governance,"Platform Governance, Surveillance & Influence",/home/lenovo/projects/AgenticFinLab/EventMycelium-Research/build/hf_dataset_repo_staging/eventmycelium-v1_1000-public/visualizations/gantt_full1000_v1/html/P1000-0536_gantt.html,assets/gantt/hd/P1000-0536_gantt_hd.png,3600,1320,2015-07-15T01:15:11,2018-02-17T22:44:48
P1000-0641,Samut Prakan Radiation Accident,Energy & Environment,Nuclear Accidents,/home/lenovo/projects/AgenticFinLab/EventMycelium-Research/build/hf_dataset_repo_staging/eventmycelium-v1_1000-public/visualizations/gantt_full1000_v1/html/P1000-0641_gantt.html,assets/gantt/hd/P1000-0641_gantt_hd.png,3600,1320,2000-01-23T01:38:47,2000-06-09T00:00:00
P1000-0901,Crimean War,Military & Geopolitics,War Outbreaks & Escalation,/home/lenovo/projects/AgenticFinLab/EventMycelium-Research/build/hf_dataset_repo_staging/eventmycelium-v1_1000-public/visualizations/gantt_full1000_v1/html/P1000-0901_gantt.html,assets/gantt/hd/P1000-0901_gantt_hd.png,3600,1320,1853-08-13T22:39:16,1856-05-20T01:20:43
P1000-0909,War in Donbas,Military & Geopolitics,War Outbreaks & Escalation,/home/lenovo/projects/AgenticFinLab/EventMycelium-Research/build/hf_dataset_repo_staging/eventmycelium-v1_1000-public/visualizations/gantt_full1000_v1/html/P1000-0909_gantt.html,assets/gantt/hd/P1000-0909_gantt_hd.png,3600,1320,2014-01-10T02:48:00,2015-08-22T20:12:00
P1000-0991,Francesca Gino Data Integrity Scandal,Science & Engineering,Scientific Fraud & Research Integrity,/home/lenovo/projects/AgenticFinLab/EventMycelium-Research/build/hf_dataset_repo_staging/eventmycelium-v1_1000-public/visualizations/gantt_full1000_v1/html/P1000-0991_gantt.html,assets/gantt/hd/P1000-0991_gantt_hd.png,3600,1320,2020-09-08T13:18:18,2029-02-22T11:03:58
P1000-0403,Zimbabwe Hyperinflation Crisis,Finance,"Sovereign, FX & Policy Shocks",/home/lenovo/projects/AgenticFinLab/EventMycelium-Research/build/hf_dataset_repo_staging/eventmycelium-v1_1000-public/visualizations/gantt_full1000_v1/html/P1000-0403_gantt.html,assets/gantt/hd/P1000-0403_gantt_hd.png,3600,1320,1999-08-18T10:33:36,2009-08-25T13:26:24
